x,y,width,height,confidence,class,image_path,tile_col,tile_row,object_centroid_x,object_centroid_y,geotransform,mylist,bb
817,133,360,267,0.4660564363002777,infested_tree,jpg/tile_6_7.jpg,6,7,997,0,"[259905.7866307773, 0.014080873475957724, 0.0, 1484051.8753244327, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259917.29070440715 1484050.0025682605, 259917.29070440715 1484046.2429750424, 259922.3598188585 1484046.2429750424, 259922.3598188585 1484050.0025682605, 259917.29070440715 1484050.0025682605))"
762,825,475,345,0.6057890057563782,healthy_tree,jpg/tile_6_14.jpg,6,14,999,653,"[259905.7866307773, 0.014080873475957724, 0.0, 1483953.309210101, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259916.51625636598 1483941.6924894832, 259916.51625636598 1483936.834588134, 259923.20467126707 1483936.834588134, 259923.20467126707 1483941.6924894832, 259916.51625636598 1483941.6924894832))"
749,825,501,350,0.4531706273555755,infested_tree,jpg/tile_6_14.jpg,6,14,999,650,"[259905.7866307773, 0.014080873475957724, 0.0, 1483953.309210101, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259916.33320501077 1483941.6924894832, 259916.33320501077 1483936.7641837667, 259923.38772262222 1483936.7641837667, 259923.38772262222 1483941.6924894832, 259916.33320501077 1483941.6924894832))"
220,319,440,629,0.4498806893825531,infested_tree,jpg/tile_6_15.jpg,6,15,440,5,"[259905.7866307773, 0.014080873475957724, 0.0, 1483939.228336625, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259908.884422942 1483934.7365379862, 259908.884422942 1483925.87966857, 259915.08000727143 1483925.87966857, 259915.08000727143 1483934.7365379862, 259908.884422942 1483934.7365379862))"
470,878,559,243,0.68212890625,healthy_tree,jpg/tile_6_16.jpg,6,16,749,757,"[259905.7866307773, 0.014080873475957724, 0.0, 1483925.147463149, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259912.404641311 1483912.784456237, 259912.404641311 1483909.3628039823, 259920.27584958405 1483909.3628039823, 259920.27584958405 1483912.784456237, 259912.404641311 1483912.784456237))"
475,151,568,303,0.6258369088172913,infested_tree,jpg/tile_6_17.jpg,6,17,759,0,"[259905.7866307773, 0.014080873475957724, 0.0, 1483911.066589673, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259912.47504567838 1483908.9403777781, 259912.47504567838 1483904.6738731149, 259920.47298181272 1483904.6738731149, 259920.47298181272 1483908.9403777781, 259912.47504567838 1483908.9403777781))"
197,376,392,487,0.468192309141159,infested_tree,jpg/tile_6_17.jpg,6,17,393,133,"[259905.7866307773, 0.014080873475957724, 0.0, 1483911.066589673, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259908.56056285204 1483905.7721812462, 259908.56056285204 1483898.9147958634, 259914.08026525463 1483898.9147958634, 259914.08026525463 1483905.7721812462, 259908.56056285204 1483905.7721812462))"
818,722,362,548,0.3677100837230682,infested_tree,jpg/tile_6_17.jpg,6,17,999,448,"[259905.7866307773, 0.014080873475957724, 0.0, 1483911.066589673, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259917.30478528063 1483900.9001990233, 259917.30478528063 1483893.1838803585, 259922.40206147893 1483893.1838803585, 259922.40206147893 1483900.9001990233, 259917.30478528063 1483900.9001990233))"
229,748,453,490,0.2694247961044311,infested_tree,jpg/tile_6_17.jpg,6,17,455,503,"[259905.7866307773, 0.014080873475957724, 0.0, 1483911.066589673, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259909.0111508033 1483900.534096313, 259909.0111508033 1483893.6344683098, 259915.3897864879 1483893.6344683098, 259915.3897864879 1483900.534096313, 259909.0111508033 1483900.534096313))"
858,272,282,492,0.6175345778465271,infested_tree,jpg/tile_6_19.jpg,6,19,999,26,"[259905.7866307773, 0.014080873475957724, 0.0, 1483882.904842721, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259917.86802021967 1483879.0748451357, 259917.86802021967 1483872.1470553854, 259921.8388265399 1483872.1470553854, 259921.8388265399 1483879.0748451357, 259917.86802021967 1483879.0748451357))"
214,683,428,532,0.4471850395202636,infested_tree,jpg/tile_6_19.jpg,6,19,428,417,"[259905.7866307773, 0.014080873475957724, 0.0, 1483882.904842721, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259908.79993770114 1483873.2876061369, 259908.79993770114 1483865.7965814476, 259914.82655154885 1483865.7965814476, 259914.82655154885 1483873.2876061369, 259908.79993770114 1483873.2876061369))"
274,312,517,503,0.3526802062988281,infested_tree,jpg/tile_6_19.jpg,6,19,532,61,"[259905.7866307773, 0.014080873475957724, 0.0, 1483882.904842721, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259909.6447901097 1483878.5116101967, 259909.6447901097 1483871.4289308384, 259916.92460169678 1483871.4289308384, 259916.92460169678 1483878.5116101967, 259909.6447901097 1483878.5116101967))"
692,411,143,120,0.3051292598247528,infested_tree,jpg/tile_6_20.jpg,6,20,763,351,"[259905.7866307773, 0.014080873475957724, 0.0, 1483868.8239692452, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259915.53059522266 1483863.0367302466, 259915.53059522266 1483861.3470254296, 259917.54416012974 1483861.3470254296, 259917.54416012974 1483863.0367302466, 259915.53059522266 1483863.0367302466))"
691,411,142,117,0.3002814054489136,healthy_tree,jpg/tile_6_20.jpg,6,20,762,353,"[259905.7866307773, 0.014080873475957724, 0.0, 1483868.8239692452, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259915.51651434918 1483863.0367302466, 259915.51651434918 1483861.38926805, 259917.51599838276 1483861.38926805, 259917.51599838276 1483863.0367302466, 259915.51651434918 1483863.0367302466))"
314,918,620,162,0.267753005027771,infested_tree,jpg/tile_6_20.jpg,6,20,624,837,"[259905.7866307773, 0.014080873475957724, 0.0, 1483868.8239692452, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259910.20802504875 1483855.8977273942, 259910.20802504875 1483853.616625891, 259918.93816660385 1483853.616625891, 259918.93816660385 1483855.8977273942, 259910.20802504875 1483855.8977273942))"
290,91,271,179,0.746769905090332,healthy_tree,jpg/tile_6_21.jpg,6,21,425,2,"[259905.7866307773, 0.014080873475957724, 0.0, 1483854.7430957693, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259909.87008408533 1483853.461736283, 259909.87008408533 1483850.9412599308, 259913.68600079732 1483850.9412599308, 259913.68600079732 1483853.461736283, 259909.87008408533 1483853.461736283))"
121,118,242,237,0.2628454566001892,infested_tree,jpg/tile_7_7.jpg,7,7,242,0,"[259919.86750425326, 0.014080873475957724, 0.0, 1484051.8753244327, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259921.57128994385 1484050.2137813626, 259921.57128994385 1484046.8766143487, 259924.97886132504 1484046.8766143487, 259924.97886132504 1484050.2137813626, 259921.57128994385 1484050.2137813626))"
682,866,346,267,0.6025702953338623,infested_tree,jpg/tile_7_14.jpg,7,14,855,733,"[259919.86750425326, 0.014080873475957724, 0.0, 1483953.309210101, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259929.47065996384 1483941.1151736707, 259929.47065996384 1483937.3555804526, 259934.34264218653 1483937.3555804526, 259934.34264218653 1483941.1151736707, 259929.47065996384 1483941.1151736707))"
824,661,351,435,0.2646845579147339,infested_tree,jpg/tile_7_17.jpg,7,17,999,444,"[259919.86750425326, 0.014080873475957724, 0.0, 1483911.066589673, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259931.47014399743 1483901.7591323054, 259931.47014399743 1483895.6339523434, 259936.4125305875 1483895.6339523434, 259936.4125305875 1483901.7591323054, 259931.47014399743 1483901.7591323054))"
207,660,414,525,0.5541012287139893,infested_tree,jpg/tile_7_19.jpg,7,19,414,398,"[259919.86750425326, 0.014080873475957724, 0.0, 1483882.904842721, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259922.7822450628 1483873.6114662269, 259922.7822450628 1483866.219007652, 259928.61172668185 1483866.219007652, 259928.61172668185 1483873.6114662269, 259922.7822450628 1483873.6114662269))"
307,323,590,534,0.5503286719322205,infested_tree,jpg/tile_7_19.jpg,7,19,602,56,"[259919.86750425326, 0.014080873475957724, 0.0, 1483882.904842721, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259924.19033241036 1483878.3567205884, 259924.19033241036 1483870.8375341522, 259932.49804776118 1483870.8375341522, 259932.49804776118 1483878.3567205884, 259924.19033241036 1483878.3567205884))"
222,917,432,164,0.2960102558135986,infested_tree,jpg/tile_7_20.jpg,7,20,438,835,"[259919.86750425326, 0.014080873475957724, 0.0, 1483868.8239692452, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259922.9934581649 1483855.9118082677, 259922.9934581649 1483853.6025450176, 259929.07639550653 1483853.6025450176, 259929.07639550653 1483855.9118082677, 259922.9934581649 1483855.9118082677))"
209,318,415,453,0.6722068786621094,healthy_tree,jpg/tile_7_21.jpg,7,21,416,92,"[259919.86750425326, 0.014080873475957724, 0.0, 1483854.7430957693, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259922.81040680973 1483850.265378004, 259922.81040680973 1483843.8867423194, 259928.65396930225 1483843.8867423194, 259928.65396930225 1483850.265378004, 259922.81040680973 1483850.265378004))"
160,115,314,221,0.3022480010986328,infested_tree,jpg/tile_8_12.jpg,8,12,317,5,"[259933.94837772922, 0.014080873475957724, 0.0, 1483981.470957053, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259936.20131748536 1483979.8516566032, 259936.20131748536 1483976.739783565, 259940.62271175682 1483976.739783565, 259940.62271175682 1483979.8516566032, 259936.20131748536 1483979.8516566032))"
