x,y,width,height,confidence,class,image_path,prediction_type
639,426,503,431,0.29475390911102295,healthy_tree,jpg/tile_16_9.jpg,ObjectDetectionModel
910,781,178,396,0.28486114740371704,infested_tree,jpg/tile_16_9.jpg,ObjectDetectionModel
657,424,507,451,0.2685447633266449,infested_tree,jpg/tile_16_9.jpg,ObjectDetectionModel
475,785,420,373,0.5159875154495239,infested_tree,jpg/tile_16_15.jpg,ObjectDetectionModel
279,417,475,392,0.578677773475647,infested_tree,jpg/tile_16_16.jpg,ObjectDetectionModel
628,663,698,623,0.610390305519104,healthy_tree,jpg/tile_16_17.jpg,ObjectDetectionModel
372,921,467,156,0.3928196430206299,infested_tree,jpg/tile_17_3.jpg,ObjectDetectionModel
267,335,514,467,0.5751100778579712,infested_tree,jpg/tile_17_4.jpg,ObjectDetectionModel
532,877,528,245,0.38130778074264526,infested_tree,jpg/tile_17_6.jpg,ObjectDetectionModel
823,146,353,281,0.3269936442375183,infested_tree,jpg/tile_17_7.jpg,ObjectDetectionModel
764,914,418,170,0.4282896816730499,infested_tree,jpg/tile_17_9.jpg,ObjectDetectionModel
323,865,534,262,0.2648213505744934,infested_tree,jpg/tile_17_9.jpg,ObjectDetectionModel
939,92,120,178,0.40675613284111023,infested_tree,jpg/tile_17_10.jpg,ObjectDetectionModel
564,138,712,276,0.3917897045612335,infested_tree,jpg/tile_17_10.jpg,ObjectDetectionModel
565,941,478,114,0.2829691171646118,healthy_tree,jpg/tile_18_3.jpg,ObjectDetectionModel
321,859,518,271,0.46275827288627625,infested_tree,jpg/tile_18_4.jpg,ObjectDetectionModel
325,853,518,292,0.4590892791748047,healthy_tree,jpg/tile_18_4.jpg,ObjectDetectionModel
785,919,407,160,0.37230294942855835,infested_tree,jpg/tile_18_4.jpg,ObjectDetectionModel
255,358,295,264,0.6013447046279907,healthy_tree,jpg/tile_18_7.jpg,ObjectDetectionModel
195,164,390,328,0.7726787328720093,infested_tree,jpg/tile_18_10.jpg,ObjectDetectionModel
670,865,543,265,0.480756014585495,infested_tree,jpg/tile_19_4.jpg,ObjectDetectionModel
181,403,362,589,0.2963986396789551,infested_tree,jpg/tile_19_5.jpg,ObjectDetectionModel
277,916,529,164,0.281962513923645,infested_tree,jpg/tile_19_7.jpg,ObjectDetectionModel
779,867,425,260,0.6070764064788818,healthy_tree,jpg/tile_19_8.jpg,ObjectDetectionModel
262,123,490,246,0.39513397216796875,infested_tree,jpg/tile_19_8.jpg,ObjectDetectionModel
745,859,496,278,0.25031575560569763,infested_tree,jpg/tile_19_8.jpg,ObjectDetectionModel
619,829,651,340,0.36375272274017334,infested_tree,jpg/tile_19_9.jpg,ObjectDetectionModel
869,211,260,410,0.35667115449905396,infested_tree,jpg/tile_19_9.jpg,ObjectDetectionModel
115,253,228,464,0.5214861631393433,healthy_tree,jpg/tile_19_10.jpg,ObjectDetectionModel
217,496,410,373,0.6283074021339417,infested_tree,jpg/tile_20_5.jpg,ObjectDetectionModel
822,579,354,562,0.4308747351169586,infested_tree,jpg/tile_20_8.jpg,ObjectDetectionModel
276,264,543,503,0.39040660858154297,healthy_tree,jpg/tile_20_9.jpg,ObjectDetectionModel
214,921,418,157,0.3058529198169708,infested_tree,jpg/tile_20_9.jpg,ObjectDetectionModel
269,252,535,501,0.27707237005233765,infested_tree,jpg/tile_20_9.jpg,ObjectDetectionModel
275,111,550,223,0.28330498933792114,infested_tree,jpg/tile_20_10.jpg,ObjectDetectionModel
718,685,421,381,0.28308480978012085,infested_tree,jpg/tile_20_10.jpg,ObjectDetectionModel
635,798,503,403,0.43583327531814575,infested_tree,jpg/tile_21_5.jpg,ObjectDetectionModel
82,350,160,207,0.35839343070983887,infested_tree,jpg/tile_21_6.jpg,ObjectDetectionModel
440,675,509,546,0.38599932193756104,infested_tree,jpg/tile_21_8.jpg,ObjectDetectionModel
107,414,212,584,0.36951369047164917,infested_tree,jpg/tile_21_9.jpg,ObjectDetectionModel
777,666,423,667,0.29603111743927,infested_tree,jpg/tile_21_9.jpg,ObjectDetectionModel
829,811,334,339,0.5055538415908813,healthy_tree,jpg/tile_21_10.jpg,ObjectDetectionModel
832,813,335,332,0.2651168704032898,infested_tree,jpg/tile_21_10.jpg,ObjectDetectionModel
942,894,115,210,0.4198065996170044,infested_tree,jpg/tile_22_6.jpg,ObjectDetectionModel
725,162,476,321,0.7481645345687866,infested_tree,jpg/tile_22_8.jpg,ObjectDetectionModel
718,532,531,646,0.7271149158477783,infested_tree,jpg/tile_22_10.jpg,ObjectDetectionModel
853,765,293,468,0.48168429732322693,infested_tree,jpg/tile_23_5.jpg,ObjectDetectionModel
197,864,376,271,0.5931612253189087,infested_tree,jpg/tile_23_6.jpg,ObjectDetectionModel
317,578,498,593,0.37238284945487976,infested_tree,jpg/tile_23_6.jpg,ObjectDetectionModel
713,164,520,326,0.519881010055542,infested_tree,jpg/tile_23_7.jpg,ObjectDetectionModel
213,82,426,164,0.4442446529865265,infested_tree,jpg/tile_23_7.jpg,ObjectDetectionModel
169,571,339,539,0.3928055465221405,infested_tree,jpg/tile_23_7.jpg,ObjectDetectionModel
674,913,557,170,0.29619142413139343,infested_tree,jpg/tile_23_8.jpg,ObjectDetectionModel
200,690,393,490,0.700249195098877,infested_tree,jpg/tile_23_9.jpg,ObjectDetectionModel
578,784,467,431,0.610973596572876,infested_tree,jpg/tile_24_5.jpg,ObjectDetectionModel
409,804,487,390,0.6831559538841248,infested_tree,jpg/tile_25_5.jpg,ObjectDetectionModel
703,664,337,296,0.5085431337356567,healthy_tree,jpg/tile_25_6.jpg,ObjectDetectionModel
174,160,348,321,0.4363996684551239,infested_tree,jpg/tile_25_6.jpg,ObjectDetectionModel
67,867,132,264,0.2584308385848999,healthy_tree,jpg/tile_25_6.jpg,ObjectDetectionModel
222,907,429,184,0.33627378940582275,healthy_tree,jpg/tile_26_5.jpg,ObjectDetectionModel
